sales,CNYExchangeRateIndex,display_size,primary_camera,storage,battery,Prices
0.08,17.39908975,5,13,64,2600,2.756681741
2.46,5.799696582,5,13,64,2600,2.743846722
0.96,2.319878633,5,13,64,2600,2.731008244
1.21,430.3632818,5,13,64,2600,2.718169405
1.07,389.8454355,5,13,64,2600,2.705333344
1.37,407.6570442,5,13,64,2600,2.692494408
1.56,373.5969459,5,13,64,2600,2.67966406
1.22,368.853966,5,13,64,2600,2.666826744
1.62,392.2543113,5,13,64,2600,2.653983907
1.38,337.0835649,5,13,64,2600,2.641146779
1.05,350.6332393,5,13,64,2600,2.628307173
0.71,314.5825973,5,13,64,2600,2.592643013
1.03,406.4023545,5,13,64,2600,2.57375323
1.07,397.5706116,5,13,64,2600,2.558060244
0.95,276.9307377,5,13,64,2600,2.555203311
0.95,310.6282271,5,13,64,2600,2.550350672
0.96,325.7742328,5,13,64,2600,2.545455568
0.78,285.8545702,5,13,64,2600,2.540492148
0.53,321.3687517,5,13,64,2600,2.535484003
0.3,272.2142899,5,13,64,2600,2.504470862
0.27,277.5700491,5,13,64,2600,2.486614643
0.66,37.11805812,4,8,16,1570,2.824275565
1.56,28.99848291,4,8,16,1570,2.811440944
0.74,75.39605556,4,8,16,1570,2.798602311
1.99,513.2180171,4,8,16,1570,2.785763912
1.68,454.5215004,4,8,16,1570,2.772930173
0.52,464.6493074,4,8,16,1570,2.760090604
0.53,425.2807009,4,8,16,1570,2.744793503
0.68,513.8794694,4,8,16,1570,2.744793503
1.08,501.9167872,4,8,16,1570,2.747505027
1,390.6835853,4,8,16,1570,2.742316561
1.01,435.9212186,4,8,16,1570,2.754417145
0.79,462.6904905,4,8,16,1570,2.738511022
0.65,419.8130599,4,8,16,1570,2.705769662
0.76,468.9038813,4,8,16,1570,2.692406235
0.44,408.3547396,4,8,16,1570,2.683758266
0.67,388.9262041,4,8,16,1570,2.681214093
1.12,37.11805812,4,8,16,1510,2.706444663
1.49,28.99848291,4,8,16,1510,2.693612646
0.74,75.39605556,4,8,16,1510,2.680770497
1.05,455.5899668,4,8,16,1510,2.667938344
1.77,394.2939615,4,8,16,1510,2.6551
1.09,337.9286415,4,8,16,1510,2.642266619
0.51,356.0972925,4,8,16,1510,2.64912058
0.59,315.3861127,4,8,16,1510,2.64912058
0.95,407.1850893,4,8,16,1510,2.643728958
0.91,412.0200356,4,8,16,1510,2.639506411
0.85,314.585133,4,8,16,1510,2.658650437
0.72,357.1729342,4,8,16,1510,2.618550123
0.18,395.9799085,4,8,16,1510,2.615434481
0.05,363.1936101,4,8,16,1510,2.594414651
0.05,381.752144,4,8,16,1510,2.581038949
0.04,319.378023,4,8,16,1510,2.556386939
1.33,47.55751197,5.1,16,16,2800,2.759667845
1.1,47.55751197,5.1,16,16,2800,2.715167358
1.4,33.63824017,5.1,16,16,2800,2.705059352
1.68,492.2493687,5.1,16,16,2800,2.695980478
0.87,462.7384834,5.1,16,16,2800,2.691231833
0.51,403.430486,5.1,16,16,2800,2.663710346
1.27,349.7666403,5.1,16,16,2800,2.662190991
1.12,373.864681,5.1,16,16,2800,2.639566169
1.05,321.6549184,5.1,16,16,2800,2.619833923
0.38,103.2345992,5.5,8,32,3100,2.515926803
0.38,103.2345992,5.5,8,32,3100,2.721159097
0.9,5.799696582,5.5,8,32,3100,2.709040878
2.34,279.42589,5.5,8,32,3100,2.696574792
0.27,458.4532328,5.5,8,32,3100,2.683731279
0.93,402.0255711,5.5,8,32,3100,2.670894954
0.62,438.3930546,5.5,8,32,3100,2.658059119
0.42,368.0391942,5.5,8,32,3100,2.645225712
0.43,372.2193049,5.5,8,32,3100,2.632386423
0.32,362.7641449,5.5,8,32,3100,2.619552438
0.35,339.6667875,5.5,8,32,3100,2.606714483
0.15,391.0687668,5.5,8,32,3100,2.593872854
0.1,391.6966368,5.5,8,32,3100,2.581038949
0.12,332.2570292,5.5,8,32,3100,2.568201724
0.11,277.6996189,5.5,8,32,3100,2.556555765
0.11,297.6207648,5.5,8,32,3100,2.538510897
0.07,258.6135918,5.5,8,32,3100,2.551596365
0.02,352.7469193,5.5,8,32,3100,2.520758564
0.02,342.5921467,5.5,8,32,3100,2.503640901
0.3,5.799696582,5.7,12,32,3200,2.766212014
0.55,52.19726924,5.7,12,32,3200,2.753376203
1.03,93.95508462,5.7,12,32,3200,2.740536373
1.05,451.8989423,5.7,12,32,3200,2.727695754
0.43,486.5208578,5.7,12,32,3200,2.714866009
0.66,414.7677723,5.7,12,32,3200,2.702025351
0.73,417.5832921,5.7,12,32,3200,2.700522002
0.45,406.8120293,5.7,12,32,3200,2.6781267
0.31,382.4262764,5.7,12,32,3200,2.679227966
0.36,441.5378477,5.7,12,32,3200,2.682830738
0.5,531.9426705,5.7,12,32,3200,2.685705919
0.42,436.505857,5.7,12,32,3200,2.657667643
0.38,339.5079649,5.7,12,32,3200,2.615655515
0.31,393.9218284,5.7,12,32,3200,2.569537763
0.26,317.2425105,5.7,12,32,3200,2.636888907
0.26,487.7146878,5.7,12,32,3200,2.613429522
0.78,201.829441,4,8,16,1440,2.816804523
